Site_ID,Sub_ID,Session,Series,Unique_ID,CNR,SNR,Qi1,EFC,Smoothness_of_Voxels,FBER,Cortical Contrast
ABIDEII-BNI_1,29006,session_1,anat_1,ABIDEII-BNI_1_29006_session_1_anat_1,3.739700451,8.044580848,0.029465652,0.3749655,4.444131556,1623.309074,0.346157018
ABIDEII-BNI_1,29007,session_1,anat_1,ABIDEII-BNI_1_29007_session_1_anat_1,3.909783132,8.098632593,0.027127226,0.383418312,4.723702519,1687.366231,0.345985258
ABIDEII-BNI_1,29008,session_1,anat_1,ABIDEII-BNI_1_29008_session_1_anat_1,3.539675784,8.064537778,0.027055166,0.355421873,4.387166815,1568.398781,0.323096495
ABIDEII-BNI_1,29009,session_1,anat_1,ABIDEII-BNI_1_29009_session_1_anat_1,4.340815513,9.175651334,0.022775838,0.370577042,4.325262222,2212.091689,0.349803782
ABIDEII-BNI_1,29010,session_1,anat_1,ABIDEII-BNI_1_29010_session_1_anat_1,4.28726573,8.598314867,0.041393928,0.361352237,4.494184296,1389.710795,0.341942589
ABIDEII-BNI_1,29011,session_1,anat_1,ABIDEII-BNI_1_29011_session_1_anat_1,3.822416356,7.833616978,0.026101537,0.367415487,4.630262519,1199.312966,0.341107588
ABIDEII-BNI_1,29012,session_1,anat_1,ABIDEII-BNI_1_29012_session_1_anat_1,3.963239554,8.75056709,0.046327384,0.331921121,4.261148444,1540.331135,0.331214761
ABIDEII-BNI_1,29013,session_1,anat_1,ABIDEII-BNI_1_29013_session_1_anat_1,3.714005572,7.502377378,0.026329031,0.363841169,5.355472593,1446.915148,0.331276444
ABIDEII-BNI_1,29014,session_1,anat_1,ABIDEII-BNI_1_29014_session_1_anat_1,3.892783744,8.326741008,0.029631511,0.359471081,4.33222163,1663.962023,0.335449695
ABIDEII-BNI_1,29015,session_1,anat_1,ABIDEII-BNI_1_29015_session_1_anat_1,4.132573031,9.116376132,0.029041657,0.474352653,4.376234667,1880.96539,0.32067725
ABIDEII-BNI_1,29016,session_1,anat_1,ABIDEII-BNI_1_29016_session_1_anat_1,3.87240935,8.955587501,0.028095855,0.504873689,4.397852444,1765.148697,0.322541742
ABIDEII-BNI_1,29017,session_1,anat_1,ABIDEII-BNI_1_29017_session_1_anat_1,3.276020592,6.430844797,0.023776863,0.350839241,4.289308444,1020.181243,0.379778719
ABIDEII-BNI_1,29018,session_1,anat_1,ABIDEII-BNI_1_29018_session_1_anat_1,4.1116782,9.023660557,0.037137825,0.348829262,4.154898963,1552.800049,0.334248381
ABIDEII-BNI_1,29019,session_1,anat_1,ABIDEII-BNI_1_29019_session_1_anat_1,4.862298642,9.650620167,0.02531073,0.497926078,4.411410963,2155.40135,0.351573729
ABIDEII-BNI_1,29020,session_1,anat_1,ABIDEII-BNI_1_29020_session_1_anat_1,3.829742181,9.002026015,0.061187449,0.482442639,4.719492741,1271.741548,0.296767501
ABIDEII-BNI_1,29021,session_1,anat_1,ABIDEII-BNI_1_29021_session_1_anat_1,3.780771124,7.765926457,0.021134297,0.359968337,4.307474963,1466.274355,0.355942864
ABIDEII-BNI_1,29022,session_1,anat_1,ABIDEII-BNI_1_29022_session_1_anat_1,4.386184962,9.695570535,0.028837661,0.524591609,4.405741037,1861.993447,0.34019006
ABIDEII-BNI_1,29023,session_1,anat_1,ABIDEII-BNI_1_29023_session_1_anat_1,4.36430566,8.23396375,0.024549548,0.336673747,4.641005037,1721.687386,0.36324834
ABIDEII-BNI_1,29024,session_1,anat_1,ABIDEII-BNI_1_29024_session_1_anat_1,3.637167925,7.351316228,0.030591397,0.382015169,4.482341926,1216.874969,0.354186055
ABIDEII-BNI_1,29025,session_1,anat_1,ABIDEII-BNI_1_29025_session_1_anat_1,4.492940124,9.352395367,0.023248664,0.486329812,4.415393185,2552.061842,0.343162578
ABIDEII-BNI_1,29026,session_1,anat_1,ABIDEII-BNI_1_29026_session_1_anat_1,4.521432332,9.490346252,0.041158665,0.492802835,4.780079407,1688.357162,0.34522643
ABIDEII-BNI_1,29027,session_1,anat_1,ABIDEII-BNI_1_29027_session_1_anat_1,4.48659206,9.59698099,0.045825062,0.467023747,4.21024237,1980.463444,0.326707165
ABIDEII-BNI_1,29028,session_1,anat_1,ABIDEII-BNI_1_29028_session_1_anat_1,4.656227252,10.23555676,0.08404146,0.503036458,4.378083556,1377.506109,0.309739493
ABIDEII-BNI_1,29029,session_1,anat_1,ABIDEII-BNI_1_29029_session_1_anat_1,4.735820238,10.33854432,0.052450062,0.470218079,4.418920296,1860.243591,0.316330081
ABIDEII-BNI_1,29030,session_1,anat_1,ABIDEII-BNI_1_29030_session_1_anat_1,4.960138533,10.14689886,0.05348458,0.452350116,4.497332148,1727.972165,0.32865907
ABIDEII-BNI_1,29031,session_1,anat_1,ABIDEII-BNI_1_29031_session_1_anat_1,4.679050328,10.1461151,0.046060574,0.381568555,5.09100563,1688.288588,0.320480213
ABIDEII-BNI_1,29032,session_1,anat_1,ABIDEII-BNI_1_29032_session_1_anat_1,3.63104673,8.23576847,0.016702775,0.365343381,4.804901926,1507.999743,0.312612081
ABIDEII-BNI_1,29033,session_1,anat_1,ABIDEII-BNI_1_29033_session_1_anat_1,4.459873119,9.845994188,0.048925761,0.51209503,4.598243556,1940.992089,0.320107875
ABIDEII-BNI_1,29034,session_1,anat_1,ABIDEII-BNI_1_29034_session_1_anat_1,3.63310325,8.629198162,0.023362804,0.38451028,4.862985481,1565.753547,0.30294834
ABIDEII-BNI_1,29035,session_1,anat_1,ABIDEII-BNI_1_29035_session_1_anat_1,4.094304305,9.100148111,0.048749116,0.375987617,4.341048889,1430.470798,0.330980515
ABIDEII-BNI_1,29036,session_1,anat_1,ABIDEII-BNI_1_29036_session_1_anat_1,3.122489099,7.367127104,0.055977095,0.372002484,4.596821333,981.557442,0.30407288
ABIDEII-BNI_1,29037,session_1,anat_1,ABIDEII-BNI_1_29037_session_1_anat_1,4.320736976,8.68518325,0.039219414,0.377106115,4.950158222,1479.847883,0.343820951
ABIDEII-BNI_1,29038,session_1,anat_1,ABIDEII-BNI_1_29038_session_1_anat_1,4.162967686,9.110502746,0.048357033,0.358286526,4.735895704,1579.272152,0.318520386
ABIDEII-BNI_1,29039,session_1,anat_1,ABIDEII-BNI_1_29039_session_1_anat_1,4.193669822,9.575393387,0.043285678,0.36119628,4.58374637,1696.467296,0.318298953
ABIDEII-BNI_1,29040,session_1,anat_1,ABIDEII-BNI_1_29040_session_1_anat_1,4.627863426,10.2809755,0.098460371,0.50914135,4.494051556,1397.337618,0.321680695
ABIDEII-BNI_1,29041,session_1,anat_1,ABIDEII-BNI_1_29041_session_1_anat_1,4.350784475,8.775330273,0.031995798,0.340389783,4.949257481,1543.046016,0.336628369
ABIDEII-BNI_1,29042,session_1,anat_1,ABIDEII-BNI_1_29042_session_1_anat_1,4.231161116,10.47457192,0.05282109,0.519070313,4.567390815,1593.905469,0.304912201
ABIDEII-BNI_1,29043,session_1,anat_1,ABIDEII-BNI_1_29043_session_1_anat_1,4.719606945,10.08935019,0.04396795,0.499498376,4.362249481,2205.144756,0.328375398
ABIDEII-BNI_1,29044,session_1,anat_1,ABIDEII-BNI_1_29044_session_1_anat_1,4.466161122,10.79334535,0.079859761,0.348959965,4.616116148,1807.912535,0.29167504
ABIDEII-BNI_1,29045,session_1,anat_1,ABIDEII-BNI_1_29045_session_1_anat_1,3.600993963,8.513303946,0.026191719,0.371808277,4.521746963,1645.107203,0.317572003
ABIDEII-BNI_1,29046,session_1,anat_1,ABIDEII-BNI_1_29046_session_1_anat_1,3.95422776,8.715145831,0.038884559,0.362885983,4.964124444,1511.56977,0.302995657
ABIDEII-BNI_1,29047,session_1,anat_1,ABIDEII-BNI_1_29047_session_1_anat_1,3.519823912,7.620640262,0.043194926,0.372402586,4.862701037,1292.393326,0.326934029
ABIDEII-BNI_1,29048,session_1,anat_1,ABIDEII-BNI_1_29048_session_1_anat_1,4.13824091,8.798682853,0.033683027,0.361128376,4.666728296,1594.604111,0.336712258
ABIDEII-BNI_1,29049,session_1,anat_1,ABIDEII-BNI_1_29049_session_1_anat_1,5.136257791,10.57255548,0.058993476,0.511083392,4.355365926,2044.385354,0.335659791
ABIDEII-BNI_1,29050,session_1,anat_1,ABIDEII-BNI_1_29050_session_1_anat_1,3.966726375,9.110256718,0.035568892,0.350101434,4.592630519,1787.119377,0.291733638
ABIDEII-BNI_1,29051,session_1,anat_1,ABIDEII-BNI_1_29051_session_1_anat_1,4.120874494,9.257011217,0.03482448,0.489818998,4.800900741,1836.647237,0.303190852
ABIDEII-BNI_1,29052,session_1,anat_1,ABIDEII-BNI_1_29052_session_1_anat_1,3.910355728,8.072308014,0.021068464,0.348012839,5.145704296,1441.994427,0.324945493
ABIDEII-BNI_1,29053,session_1,anat_1,ABIDEII-BNI_1_29053_session_1_anat_1,3.798012786,7.609682756,0.034000819,0.358150013,4.996854519,1100.914039,0.338767835
ABIDEII-BNI_1,29054,session_1,anat_1,ABIDEII-BNI_1_29054_session_1_anat_1,4.389709141,9.676421289,0.050048989,0.480081321,4.620534519,1934.713865,0.308997452
ABIDEII-BNI_1,29055,session_1,anat_1,ABIDEII-BNI_1_29055_session_1_anat_1,5.623034215,10.4765943,0.053503357,0.487089682,4.401910519,2085.094859,0.353673431
ABIDEII-BNI_1,29056,session_1,anat_1,ABIDEII-BNI_1_29056_session_1_anat_1,4.491977571,9.366180707,0.032748825,0.43760959,4.511374222,1319.13552,0.335434821
ABIDEII-BNI_1,30144,session_1,anat_1,ABIDEII-BNI_1_30144_session_1_anat_1,3.708705295,8.484664822,0.026917919,0.378149657,4.511336296,1544.504802,0.31805813
ABIDEII-BNI_1,30146,session_1,anat_1,ABIDEII-BNI_1_30146_session_1_anat_1,3.731293831,9.532091154,0.080484192,0.376636095,4.243712,1411.594437,0.300869306
ABIDEII-BNI_1,30147,session_1,anat_1,ABIDEII-BNI_1_30147_session_1_anat_1,4.377213093,9.208381298,0.03323015,0.354927102,4.99398163,1726.536527,0.336001998
ABIDEII-BNI_1,30148,session_1,anat_1,ABIDEII-BNI_1_30148_session_1_anat_1,3.732478563,8.765158486,0.048929823,0.378254266,4.383393185,1558.14772,0.307789342
ABIDEII-BNI_1,30149,session_1,anat_1,ABIDEII-BNI_1_30149_session_1_anat_1,4.975732674,10.15979063,0.043241561,0.489013287,4.540596148,2394.205557,0.338310271
ABIDEII-BNI_1,30150,session_1,anat_1,ABIDEII-BNI_1_30150_session_1_anat_1,5.594917716,12.03261619,0.124900075,0.520985925,4.36319763,1858.749931,0.328134544
ABIDEII-BNI_1,30151,session_1,anat_1,ABIDEII-BNI_1_30151_session_1_anat_1,3.594706259,8.821902549,0.052745677,0.390642508,4.482152296,1639.864181,0.314375762
ABIDEII-EMC_1,29864,session_1,anat_1,ABIDEII-EMC_1_29864_session_1_anat_1,7.677505539,16.04807875,0.324778043,0.463649219,3.165311405,939.3081571,0.354135951
ABIDEII-EMC_1,29865,session_1,anat_1,ABIDEII-EMC_1_29865_session_1_anat_1,7.069062117,15.04635748,0.316858714,0.489436635,3.337799646,684.6964873,0.360452169
ABIDEII-EMC_1,29866,session_1,anat_1,ABIDEII-EMC_1_29866_session_1_anat_1,6.877363225,15.23845687,0.280470689,0.396098208,2.604077674,843.2973771,0.326052136
